Lari!	Plueng!
Apakah ini sebuah kebetulan?	Peukeuh nyoe saboh kebetulan?
Apakah rumahmu jauh?	Peukeuh rumôh kah jioh?
Mari kita mencobanya.	Yak tanyoe cuba nyan.
Mari kita mencobanya.	Yak tanyoe cuba nyan.
Silakan duduk.	Silahkan duek.
Dia delapan tahun.	Jih lapan thôn.
Itu bukan masalah saya.	Nyan kön masalah lôn.
Itu cukup.	Nyan kasep.
Itu bukan urusan saya.	Nyan kön urusan lôn.
Itu bukan masalah saya.	Nyan kön masalah lôn.
Bima Sakti besar.	Bima Sakti rayék.
Kuenya terlalu manis.	Kueh nyan that mameh.
Uang telah menghilang.	Pèng ka gadöh.
Mereka ini adalah anak-anak saya.	Awak nyan nyoe adalah aneuk-aneuk lôn.
Mereka sedang memakan apel.	Awak nyan tingöh pajôh apel.
ini harus dicuci.	nyoe harus i rah.
Ahmad dan Nisa putus.	Ahmad ngön Nisa putôh.
Ahmad tidak bisa bermain tenis.	Ahmad hana jeut di meuen tenis.
Ahmad melakukan apa yang saya katakan.	Ahmad i peubuet peu yang lôn peugah.
Ahmad tidak suka daging sapi.	Ahmad hana galak sie lumo.
Ahmad mempunyai istri yang cantik.	Ahmad na inöng yang lagak.
Ahmad sakit perut.	Ahmad saket pruet.
Ahmad telah dikeluarkan.	Ahmad ka di peutubiet.
Ahmad telah diracuni.	Ahmad ka di racon.
Ahmad selalu sehat.	Ahmad sabe sehat.
Ahmad sedang membaca buku.	Ahmad tingöh dibaca buku.
Ahmad bukanlah penghianat.	Ahmad kön penghianat.
Ahmad merindukan keluarganya.	Ahmad rindu keu keluarga jih.
Ahmad berbicara untuk Nisa.	Ahmad peugah haba keu Nisa.
Ahmad sangat tekun belajar.	Ahmad that tekun beulajar.
Ahmad sudah cukup membantu.	Ahmad ka sep meubantu.
Ahmad tidak akan duduk.	Ahmad hana akan i duek.
Tangan Ahmad besar.	Jaroe Ahmad rayék.
Kalian punya apa?	Awakkah na peu?
Sebaiknya kamu cepat-cepat.	Lubeh göt kah bagah-bagah.
Sebaiknya kamu duduk di sini.	Lubeh göt kah duek i noe.
Apakah kamu menyukai kaus oblong saya?	Peukeuh kah galak kaos oblong lôn.
Dia akan duduk di sini.	Jih akan duek i noe.
Saya tidak punya sepeda.	Lôn hana sitangèn.
Saya sepenuhnya setuju.	Lôn sepunoh jih seutuju.
Saya ingin sekali bertemu denganmu.	Lôn hawa sigö meureumpök ngön kah.
Saya akan membutuhkan bantuan.	Lôn akan perlè bantuan.
Saya tidak sedang bercanda.	Lôn hana tingeh meuseunda.
Apakah ini gambar yang tadi?	Peukeuh nyoe gamba yang bunoe?
Terima kasih banyak.	Teurimeng geunaseh banyak.
Terima kasih telah membantu Ahmad.	Teurimeng geunaseh kaleuh neubantu Ahmad.
Mereka tidak percaya pada saya.	Awak nyan hana peucaya keu lôn.
Mereka baru saja sampai.	Awak nyan barô mantöng trôh.
Mereka pergi ke pantai.	Awak nyan jak u pante.
Makanan ini terlalu asin.	Makanan nyan brat masen.
Ini adalah sebuah hukum kuno.	Nyoe adalah sebuah hukom kuno.
Ini bukan kalimat.	Nyoe kön kalimat.
Ini bukan masalah saya.	Nyoe kön masalah lôn.
Ini yang terakhir!	Nyoe yang terakhe!
Ini yang terakhir.	Nyoe yang terakhe.
Ini sangat membingungkan.	Nyoe that membingongkan.
Ruangan ini sangat hangat.	Ruangan nyoe tah meuhai.
Hari ini sangat panas.	Uroe nyoe that suum.
Hari ini ulang tahun Ahmad.	Uroe nyoe ulang tahun Ahmad.
Ahmad bisa menggantikan Nisa.	Ahmad jeut gantoe Nisa.
Ahmad tidak punya mobil.	Ahmad hana moto.
Ahmad memimpikan kamu.	Ahmad meuleumpoe kah.
Ahmad menyiram toilet.	Ahmad siram toilet.
Ahmad keluar dari mobilnya.	Ahmad tubiet dari moto jih.
Ahmad keluar dari mobil.	Ahmad tubiet dari moto.
Ahmad belum sampai.	Ahmad golom trôh.
Ahmad adalah seorang kawan saya.	Ahmad adalah sidroe ngön lôn.
Ahmad adalah pegawai yang baik.	Ahmad adalah pegawai yang göt.
Ahmad sedang berduaan dengan Nisa.	Ahmad tingöh dua ngön Nisa.
Ahmad mulai cemburu.	Ahmad mulai cemburu.
Ahmad pandai dalam hal memasak.	Ahmad caröng dalam hai maguen.
Ahmad sedang mencarimu.	Ahmad tingöh mita kah.
Ahmad tidak bisa berenang.	Ahmad han jeut meulangoe.
Ahmad tampak seperti diri saya.	Ahmad deuh lage lôn.
Ahmad sungguh merindukan Nisa.	Ahmad that rindu keu Nisa.
Ahmad berkata bahwa dia tidak akan tinggal.	Ahmad peugah bahwa jih hana akan tinggai.
Ahmad berkata dia tidak bersalah.	Ahmad peugah jih salah.
Ahmad meletakkan sendoknya.	Ahmad peuduek sendok jih.
Ahmad tinggal selama beberapa waktu.	Ahmad tinggai meu padup uroe.
Ahmad sedikit mabuk.	Ahmad bacut mabôk.
Ahmad sangat terkejut.	Ahmad that teukijét.
Kenapa kamu bekerja di sini?	Pakön kah keureuja i noe?
Mereka ini siapa?	Awak nyan nyoe soe?
Apakah mereka semua sama?	Peukeuh awaknyan mandum sama?
Dia punya selera seni yang tinggi.	Jih na seulera seni yang lambong.
Dia telah berangkat ke London.	Jih ka i berangkat u London.
Dia punya banyak uang.	Jih na lé pèng.
Dia punya banyak uang.	Jih na lé pèng.
Dia hidup dengan bahagia.	Jih udép ngön bahgia.
Dia sering bermain gitar.	Jih sereng meuen gitar.
Dia kakak saya.	Jih kakak lôn.
Dia sangat pintar.	Jih that caröng.
Ahmad dulu bahagia.	Ahmad jameun bahgia.
Ahmad sangat baik dalam hal itu.	Ahmad that göt lam hai nyan.
Ahmad masih berada di luar.	Ahmad mantöng na di lua.
Ahmad memberitahu saya tentang hal itu.	Ahmad di peugah bak lôn tentang hai nyan.
Ahmad adalah seorang yang teliti.	Ahmad adalah sidroe ureueng yang teuliti.
Ahmad lebih tua ketimbang saya.	Ahmad lubeh tuha dari lôn.
Ahmad adalah pekerja yang baik.	Ahmad adalah peukeurja yang göt.
Ahmad adalah orang yang baik.	Ahmad adalah ureueng yang göt.
Ahmad menyetrika bajunya.	Ahmad i gosok bajee.
Ahmad adalah orang yang baik.	Ahmad adalah ureueng yang göt.
Ahmad tidak mempercayai kita.	Ahmad hana dipatéh tanyoe.
Ahmad akhirnya bertemu dengan Nisa.	Ahmad akhe jih meureumpök ngön Nisa.
Ahmad punya sopan santun.	Ahmad na sopan santon.
Kamu tidak memerlukan itu.	Kah hana peurle nyan.
Kamu tidak memerlukan ini.	Kah hana peurle nyan.
Kamu bisa mengandalkannya.	Kah jeut ta andalkan.
Kamu mengecewakan saya.	Kah kapeu keucewa lôn.
Mengapa kamu mengatakan itu?	Pakön kah kapeugah nyan?
Kamu koki yang terampil.	Kah koki yang teurampil.
Kenapa kamu menyerah?	Pakön kah menyerah?
Kenapa kamu tidak datang?	Pakön kah hana kajak?
Mana jaketmu?	Pat jaket kah?
Siapa gurumu?	Soe guru kah?
Ada di mana bandaranya?	Na di pat bandara jih?
Stasiunnya di mana?	Stasiun jih pat?
Ke mana saja kamu?	Ho mantöng kah?
Dari mana saja Kamu?	Dari pat mantöng kah?
Ke mana kamu pergi?	Ho kah jak?
Mau ke mana?	Neu jak ho?
Dari mana kamu?	Dari pat kah?
Kamu dari mana saja?	Kah dari pat mantöng?
Kamu menuju ke mana?	Kah menuju ho?
Kamu mau pergi ke mana?	Kah neu jak ho?
Kamu mau ke mana?	Kah neu jak ho?
Kapan kamu akan pergi?	Pajan kah ka jak?
Kamu kapan akan pergi?	Pajan kah ka jak?
Kapan kamu berangkat?	Pajan kah ka beurangkat?
Kapan kamu bangun?	Pajan kah beudöh?
Bagaimana hasilnya?	Kiban hasil jih?
Sedang apa kamu tadi?	Tingöh peu kah bunoe?
Apa masalahmu?	Peu masalah kah?
Di atas meja ada apa?	Di ateu meja na peu?
Saya harus bawa apa?	Lôn harus ba peu?
Apakah mereka telah yakin?	Peukeuh awaknyan ka yakin?
Apa yang sedang kamu makan?	Peu yang tingöh kah pajôh?
Apa yang dia cari?	Peu yang jih mita?
Kami dapat mempercayai Ahmad.	Kamoe jeut meupatéh Ahmad.
Kami sedang makan apel.	Kamoe tingöh pajôh apel.
Saya sangat lapar.	Lôn that deuek.
Saya harus belajar.	Lôn harus belajar.
Saya bukan pelajar.	Lôn kön pelajar.
Saya bukan siswa.	Lôn kön siswa.
Saya bukan siswa.	Lôn kön siswa.
Saya seorang akuntan.	Lôn sidroe akuntan.
Saya benar-benar capek.	Lôn butoi-butoi hèk.
Saya merasa capek.	Lôn merasa hèk.
Saya akan mengembalikannya.	Lôn akan pulang.
Saya akan mengirimnya kembali.	Lôn akan kirem balek.
Saya adalah manusia.	Lôn adalah manusia.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya sangat lapar.	Lôn that deuek.
Saya ada di dalam mobil.	Lôn na di dalam moto.
